iter	RMSE
0	0.2440755221
1	0.2324195706
2	0.2224799476
3	0.2143575692
4	0.2073870061
5	0.2009133817
6	0.1957771082
7	0.1916648113
8	0.1875865483
9	0.1840896823
10	0.1815794155
11	0.1791230155
12	0.1772568489
13	0.1754197649
14	0.1740973533
15	0.1729920436
16	0.1718080055
17	0.1709337724
18	0.1701744033
19	0.1695601614
20	0.168984622
21	0.1685429063
22	0.1679524441
23	0.1674598911
24	0.1671179783
25	0.1667296176
26	0.1664252858
27	0.1662023462
28	0.1659890552
29	0.165759019
30	0.1655877507
31	0.1654566288
32	0.1652902719
33	0.1651442284
34	0.1650277501
35	0.16487217
36	0.1647335233
37	0.1646038089
38	0.1644752873
39	0.1643802649
40	0.1642713969
41	0.1641931626
42	0.1641290591
43	0.1640128943
44	0.1639041815
45	0.1638360798
46	0.1637521085
47	0.1636636691
48	0.1636160412
49	0.1635486306
50	0.1634993114
51	0.1633821956
52	0.1633257175
53	0.163245932
54	0.1631889344
55	0.1631454832
56	0.1630998958
57	0.163056285
58	0.1630067076
59	0.1629680983
60	0.1628848869
61	0.1628321349
62	0.1627841726
63	0.1627404775
64	0.1627064408
65	0.1626704498
66	0.1626027651
67	0.1625652989
68	0.1625277994
69	0.1624869807
70	0.1624375252
71	0.1623853337
72	0.1623496521
73	0.1622974645
74	0.1622639987
75	0.1622314815
76	0.1621910819
77	0.1621361515
78	0.1620978585
79	0.1620659736
80	0.1620158124
81	0.1619718797
82	0.1619296638
83	0.1618764703
84	0.1618366493
85	0.161785657
86	0.1617584454
87	0.1617192511
88	0.1616874075
89	0.1616653299
90	0.1616502589
91	0.1616163461
92	0.1615765868
93	0.1615366515
94	0.1614909937
95	0.1614517257
96	0.1614191779
97	0.1613815716
98	0.1613441097
99	0.1613028514
100	0.1612842831
101	0.1612421814
102	0.1612120314
103	0.1611865221
104	0.1611480389
105	0.1611288598
106	0.1610830127
107	0.1610602778
108	0.1610307438
109	0.1609971018
110	0.1609685929
111	0.1609369625
112	0.1609235176
113	0.1608873878
114	0.1608458982
115	0.1608173292
116	0.1607801354
117	0.1607380819
118	0.1607050207
119	0.1606714045
120	0.1606397408
121	0.1606110253
122	0.1605780463
123	0.1605322208
124	0.1605050077
125	0.1604729841
126	0.1604485767
127	0.160401859
128	0.1603588503
129	0.1603245488
130	0.16029616
131	0.1602525421
132	0.1602289291
133	0.1602064641
134	0.1601557403
135	0.1601163401
136	0.1600882103
137	0.1600664289
138	0.1600393839
139	0.1600181223
140	0.1599919541
141	0.1599670259
142	0.1599249926
143	0.1599035965
144	0.1598714366
145	0.1598390784
146	0.1598139485
147	0.1597811085
148	0.1597369793
149	0.1596896862
150	0.159666886
151	0.1596493121
152	0.1596081129
153	0.1595692735
154	0.1595418493
155	0.1595245404
156	0.1594931696
157	0.1594657239
158	0.1594440461
159	0.1594165094
160	0.1593939548
161	0.1593659342
162	0.1593431152
163	0.1592922618
164	0.1592666526
165	0.1592427272
166	0.1592205418
167	0.1591903166
168	0.1591685801
169	0.1591276225
170	0.1590987099
171	0.1590858875
172	0.1590625095
173	0.1590308686
174	0.1590131281
175	0.1589817452
176	0.1589581086
177	0.1589246625
178	0.1588998957
179	0.1588789804
180	0.1588439748
181	0.1588186531
182	0.1587976477
183	0.1587729467
184	0.1587506678
185	0.1587262788
186	0.15870718
187	0.1586720464
188	0.1586367401
189	0.1586087942
190	0.158589538
191	0.1585439572
192	0.1585294547
193	0.1585112916
194	0.1584941371
195	0.1584748555
196	0.1584448605
197	0.158422766
198	0.1584104671
199	0.1583962165
200	0.1583793553
201	0.1583625454
202	0.1583425964
203	0.1583208901
204	0.1582896527
205	0.1582707678
206	0.1582496379
207	0.1582142922
208	0.1581831862
209	0.1581670993
210	0.1581447449
211	0.158110287
212	0.1580916132
213	0.158069778
214	0.1580462287
215	0.1580275754
216	0.1579955687
217	0.157963461
218	0.1579440735
219	0.1579257337
220	0.1579029055
221	0.1578770022
222	0.1578671788
223	0.1578559879
224	0.1578293263
225	0.1578081529
226	0.1577906935
227	0.157780062
228	0.1577520044
229	0.1577255259
230	0.1577099614
231	0.1576821601
232	0.1576559301
233	0.1576404246
234	0.157624866
235	0.1576051208
236	0.1575852256
237	0.157559348
238	0.1575476484
239	0.1575372262
240	0.1575210209
241	0.1574956064
242	0.1574741656
243	0.1574521349
244	0.1574363427
245	0.1574136003
246	0.1573956933
247	0.1573862668
248	0.1573704085
249	0.15735862
250	0.1573347111
251	0.1573038592
252	0.1572898165
253	0.1572681165
254	0.1572553539
255	0.1572370192
256	0.1572277714
257	0.1572140548
258	0.1571994317
259	0.1571820679
260	0.157144557
261	0.1571218242
262	0.1571065689
263	0.1570877225
264	0.1570725866
265	0.1570580045
266	0.1570371595
267	0.1570199814
268	0.1570053481
269	0.1569850705
270	0.1569697822
271	0.1569554458
272	0.156932959
273	0.1569217067
274	0.1569007384
275	0.1568765959
276	0.1568670919
277	0.1568498611
278	0.1568345829
279	0.1568157932
280	0.1567917179
281	0.1567695166
282	0.156749361
283	0.1567313259
284	0.1567169332
285	0.1566972544
286	0.1566772098
287	0.1566697095
288	0.1566447474
289	0.1566310764
290	0.1566215782
291	0.1566050778
292	0.1565799179
293	0.1565698087
294	0.1565540843
295	0.1565259513
296	0.1564992539
297	0.156487521
298	0.1564647665
299	0.1564515153
