iter	Passed	Remaining
0	172	51719
1	208	30992
2	240	23852
3	273	20226
4	304	17990
5	337	16542
6	369	15473
7	400	14635
8	433	14009
9	467	13546
10	496	13056
11	529	12697
12	563	12432
13	593	12132
14	624	11870
15	654	11608
16	682	11357
17	712	11157
18	743	10989
19	773	10830
20	805	10697
21	835	10555
22	865	10424
23	894	10287
24	924	10169
25	955	10066
26	997	10086
27	1029	10000
28	1059	9902
29	1089	9806
30	1120	9721
31	1154	9665
32	1187	9609
33	1223	9568
34	1254	9494
35	1289	9453
36	1324	9411
37	1353	9331
38	1384	9264
39	1413	9188
40	1444	9121
41	1473	9051
42	1499	8959
43	1532	8918
44	1566	8874
45	1597	8821
46	1632	8786
47	1660	8719
48	1690	8659
49	1720	8602
50	1749	8541
51	1780	8489
52	1811	8443
53	1839	8380
54	1868	8321
55	1896	8261
56	1922	8197
57	1951	8142
58	1981	8094
59	2018	8075
60	2052	8043
61	2081	7989
62	2107	7929
63	2135	7875
64	2162	7818
65	2191	7770
66	2219	7719
67	2249	7674
68	2278	7627
69	2307	7583
70	2336	7534
71	2367	7497
72	2399	7462
73	2434	7434
74	2464	7392
75	2494	7351
76	2526	7318
77	2560	7287
78	2591	7249
79	2620	7205
80	2649	7164
81	2679	7122
82	2708	7081
83	2740	7046
84	2771	7009
85	2803	6975
86	2832	6934
87	2863	6897
88	2892	6857
89	2921	6817
90	2950	6776
91	2980	6739
92	3018	6719
93	3049	6682
94	3080	6647
95	3114	6617
96	3143	6579
97	3174	6543
98	3203	6504
99	3234	6468
100	3261	6426
101	3291	6390
102	3323	6355
103	3352	6318
104	3386	6289
105	3417	6254
106	3446	6216
107	3471	6172
108	3502	6136
109	3530	6098
110	3560	6062
111	3592	6029
112	3622	5994
113	3656	5966
114	3690	5936
115	3722	5904
116	3755	5873
117	3786	5839
118	3817	5805
119	3849	5773
120	3879	5739
121	3910	5705
122	3939	5669
123	3967	5631
124	3998	5597
125	4038	5577
126	4067	5541
127	4098	5506
128	4127	5471
129	4157	5437
130	4188	5403
131	4215	5365
132	4243	5328
133	4270	5290
134	4299	5254
135	4332	5223
136	4362	5189
137	4389	5153
138	4417	5117
139	4446	5081
140	4476	5048
141	4503	5010
142	4534	4978
143	4564	4944
144	4592	4909
145	4622	4875
146	4652	4842
147	4683	4810
148	4714	4777
149	4744	4744
150	4775	4711
151	4802	4676
152	4832	4643
153	4859	4606
154	4890	4575
155	4923	4544
156	4958	4516
157	4992	4486
158	5023	4454
159	5065	4432
160	5098	4401
161	5127	4367
162	5155	4333
163	5185	4300
164	5215	4266
165	5247	4235
166	5278	4203
167	5306	4169
168	5335	4135
169	5364	4102
170	5393	4068
171	5420	4033
172	5450	4001
173	5479	3967
174	5509	3935
175	5543	3905
176	5574	3873
177	5604	3841
178	5634	3808
179	5661	3774
180	5693	3742
181	5726	3712
182	5758	3681
183	5786	3648
184	5813	3614
185	5843	3581
186	5871	3547
187	5899	3514
188	5929	3482
189	5962	3452
190	5989	3418
191	6020	3386
192	6044	3351
193	6081	3323
194	6110	3290
195	6143	3259
196	6177	3229
197	6210	3199
198	6242	3168
199	6272	3136
200	6309	3107
201	6338	3075
202	6366	3041
203	6396	3010
204	6423	2976
205	6452	2944
206	6479	2911
207	6508	2878
208	6537	2846
209	6567	2814
210	6595	2782
211	6626	2750
212	6654	2718
213	6682	2685
214	6710	2653
215	6740	2621
216	6768	2588
217	6807	2560
218	6837	2528
219	6872	2499
220	6904	2467
221	6928	2434
222	6953	2401
223	6975	2366
224	6998	2332
225	7025	2300
226	7051	2267
227	7090	2239
228	7122	2208
229	7154	2177
230	7181	2145
231	7212	2113
232	7244	2083
233	7273	2051
234	7299	2019
235	7328	1987
236	7361	1956
237	7392	1925
238	7423	1894
239	7455	1863
240	7484	1832
241	7515	1801
242	7546	1770
243	7579	1739
244	7612	1708
245	7644	1678
246	7675	1647
247	7706	1615
248	7739	1585
249	7769	1553
250	7803	1523
251	7836	1492
252	7868	1461
253	7899	1430
254	7930	1399
255	7964	1368
256	7993	1337
257	8025	1306
258	8059	1275
259	8092	1245
260	8127	1214
261	8155	1182
262	8183	1151
263	8213	1120
264	8241	1088
265	8275	1057
266	8305	1026
267	8332	994
268	8363	963
269	8394	932
270	8422	901
271	8450	869
272	8477	838
273	8505	807
274	8535	775
275	8570	745
276	8599	714
277	8631	683
278	8664	652
279	8695	621
280	8728	590
281	8761	559
282	8788	527
283	8818	496
284	8845	465
285	8874	434
286	8904	403
287	8931	372
288	8962	341
289	8990	310
290	9016	278
291	9044	247
292	9073	216
293	9109	185
294	9139	154
295	9167	123
296	9198	92
297	9226	61
298	9257	30
299	9287	0
